"","estimand","delta","Truth","Bias","RMSE","ASE","ESE","Cov","Bias","RMSE","ASE","ESE","Cov","RMSERatio"
"1","mu",0.5,0.436010996080857,0.00224239845742258,0.0175420540352404,0.0169343793933729,0.0174068465622204,0.949,0.0120163468313239,0.0229065116467679,0.0186669665100238,0.0195114423104464,0.903,0.765810801127181
"2","mu_1",0.5,0.263955767456499,-0.00200543239277029,0.0158975434308331,0.0153504037680305,0.0157784374112392,0.938,-0.0107083380699992,0.0199586918443095,0.0164994571960628,0.0168512563554018,0.871,0.796522314931463
"3","mu_0",0.5,0.55502460990806,0.0060634501322393,0.0243739088336458,0.0225814145297962,0.0236194810317444,0.936,0.0349066493721694,0.0441818003832625,0.0254186090984413,0.0270978155267396,0.686,0.55167305592371
"4","de",0.5,-0.291068842451561,-0.0080688825250097,0.0253134487017482,0.0229967789726938,0.024005000729716,0.932,-0.0456149874421687,0.0531956883652142,0.0258392087377014,0.0273825489187012,0.513,0.475855270975329
"5","se_1",0.5,0.021489026900137,0.000985804106922616,0.0122130466744397,0.01222933070459,0.0121792871043089,0.946,0.0034782446435561,0.0142098272273145,0.0136757512919705,0.0137844483039673,0.943,0.859478899994186
"6","se_0",0.5,0.0251290484397606,0.00289204719395617,0.0203654532495576,0.018202733620726,0.0201691483120006,0.94,0.00624544918620976,0.0241043469987253,0.0210099102320244,0.0232928415003965,0.93,0.844887158761637
"7","oe",0.5,0.0723124267957537,0.00322098031699736,0.0145586278330771,0.0133508790725294,0.0142049537447488,0.937,0.0129190837821893,0.0209850661233764,0.0153810819143463,0.0165452113449693,0.848,0.69376135140501
"8","te",0.5,-0.265939794011801,-0.00517683533105329,0.0174057719534945,0.0171100193371391,0.0166264160588858,0.946,-0.0393695382559587,0.0435710361876339,0.0189835855827003,0.0186768165234915,0.431,0.399480330890879
"9","mu",1,0.363698569285103,-0.00097858185957439,0.0120382860593836,0.0118505175950155,0.0120044498252635,0.941,-0.000902736950865068,0.011793995372041,0.0115963477261977,0.011765280049702,0.937,1.02071314085147
"10","mu_1",1,0.242466740556361,-0.00299123649969288,0.0113911066870154,0.0107630262374479,0.0109968516632887,0.934,-0.0141865827135553,0.0177658292099256,0.0104389005834703,0.0106995344976389,0.694,0.641180693139348
"11","mu_0",1,0.529895561468299,0.00317140293828322,0.0151985157516002,0.0149948380221966,0.0148713900728004,0.943,0.0286612001859596,0.0325027483846616,0.0154779325010081,0.0153362138715161,0.544,0.467607094997927
"12","de",1,-0.287428820911938,-0.00616263943797607,0.0137978380483006,0.012542955849581,0.0123513061952719,0.927,-0.042847782899515,0.0449622651100355,0.0138835984064369,0.0136329983152723,0.135,0.306875955082185
"13","se_1",1,0,0,0,0,0,0,0,0,0,0,0,NA
"14","se_0",1,0,0,0,0,0,0,0,0,0,0,0,NA
"15","oe",1,0,0,0,0,0,0,0,0,0,0,0,NA
"16","te",1,-0.287428820911938,-0.00616263943797607,0.0137978380483006,0.012542955849581,0.0123513061952719,0.927,-0.042847782899515,0.0449622651100355,0.0138835984064369,0.0136329983152723,0.135,0.306875955082185
"17","mu",2,0.300247263294238,-0.00304777108367976,0.0204169939520727,0.0207677928013399,0.0201983342423732,0.946,-0.0102364949780747,0.0223533691708287,0.0197689677351871,0.019881714373203,0.897,0.913374346213413
"18","mu_1",2,0.224075506219057,-0.00402521273389125,0.0213381445947753,0.0210764090352441,0.0209655343558252,0.934,-0.0169051900216818,0.0264074293079822,0.0197997101799469,0.0202972621759376,0.825,0.808035660946574
"19","mu_0",2,0.507469357289726,0.00173320635730245,0.0228128330041752,0.0234684934904846,0.0227582794754805,0.96,0.023262486826037,0.0333505263731495,0.0245432309069027,0.0239099561278691,0.848,0.684032172354011
"20","de",2,-0.283393851070669,-0.00575841909119351,0.0233276881405073,0.0219543259872989,0.0226170992111647,0.933,-0.0401676768477187,0.0463308629564927,0.0229114717464043,0.0231006545186438,0.579,0.503502129075672
"21","se_1",2,-0.0183912343373041,-0.00103397623419836,0.0171657189216987,0.0167782673970353,0.0171431235757026,0.941,-0.00271860730812647,0.0165857910325902,0.0158770284888597,0.0163696549775808,0.931,1.03496534400856
"22","se_0",2,-0.0224262041785732,-0.0014381965809809,0.0177099823422,0.0179059643456978,0.0176603214044252,0.957,-0.00539871335992264,0.0199365744283584,0.0192532838049057,0.0192012911956057,0.946,0.888316215297689
"23","oe",2,-0.0634513059908653,-0.00206918922410519,0.0166185455250188,0.0165326518721349,0.0164974748976918,0.947,-0.00933375802720948,0.0186710834260274,0.0160091798099633,0.0161787536436104,0.889,0.890068623540758
"24","te",2,-0.305820055249242,-0.00719661567217439,0.0237600918497175,0.0224184878027953,0.0226553294287581,0.933,-0.0455663902076414,0.0508237313078795,0.0224195564324108,0.0225225000945945,0.447,0.467499950087959
