"","estimand","delta","Truth","Bias","RMSE","ASE","ESE","Cov","Bias.1","RMSE.1","ASE.1","ESE.1","Cov.1","RMSERatio"
"1","mu",0.5,0.436,0.002,0.018,0.017,0.017,0.949,0.012,0.023,0.019,0.02,0.903,0.766
"2","mu_1",0.5,0.264,-0.002,0.016,0.015,0.016,0.938,-0.011,0.02,0.016,0.017,0.871,0.797
"3","mu_0",0.5,0.555,0.006,0.024,0.023,0.024,0.936,0.035,0.044,0.025,0.027,0.686,0.552
"4","de",0.5,-0.291,-0.008,0.025,0.023,0.024,0.932,-0.046,0.053,0.026,0.027,0.513,0.476
"5","se_1",0.5,0.021,0.001,0.012,0.012,0.012,0.946,0.003,0.014,0.014,0.014,0.943,0.859
"6","se_0",0.5,0.025,0.003,0.02,0.018,0.02,0.94,0.006,0.024,0.021,0.023,0.93,0.845
"7","oe",0.5,0.072,0.003,0.015,0.013,0.014,0.937,0.013,0.021,0.015,0.017,0.848,0.694
"8","te",0.5,-0.266,-0.005,0.017,0.017,0.017,0.946,-0.039,0.044,0.019,0.019,0.431,0.399
"9","mu",1,0.364,-0.001,0.012,0.012,0.012,0.941,-0.001,0.012,0.012,0.012,0.937,1.021
"10","mu_1",1,0.242,-0.003,0.011,0.011,0.011,0.934,-0.014,0.018,0.01,0.011,0.694,0.641
"11","mu_0",1,0.53,0.003,0.015,0.015,0.015,0.943,0.029,0.033,0.015,0.015,0.544,0.468
"12","de",1,-0.287,-0.006,0.014,0.013,0.012,0.927,-0.043,0.045,0.014,0.014,0.135,0.307
"13","se_1",1,0,0,0,0,0,0,0,0,0,0,0,NA
"14","se_0",1,0,0,0,0,0,0,0,0,0,0,0,NA
"15","oe",1,0,0,0,0,0,0,0,0,0,0,0,NA
"16","te",1,-0.287,-0.006,0.014,0.013,0.012,0.927,-0.043,0.045,0.014,0.014,0.135,0.307
"17","mu",2,0.3,-0.003,0.02,0.021,0.02,0.946,-0.01,0.022,0.02,0.02,0.897,0.913
"18","mu_1",2,0.224,-0.004,0.021,0.021,0.021,0.934,-0.017,0.026,0.02,0.02,0.825,0.808
"19","mu_0",2,0.507,0.002,0.023,0.023,0.023,0.96,0.023,0.033,0.025,0.024,0.848,0.684
"20","de",2,-0.283,-0.006,0.023,0.022,0.023,0.933,-0.04,0.046,0.023,0.023,0.579,0.504
"21","se_1",2,-0.018,-0.001,0.017,0.017,0.017,0.941,-0.003,0.017,0.016,0.016,0.931,1.035
"22","se_0",2,-0.022,-0.001,0.018,0.018,0.018,0.957,-0.005,0.02,0.019,0.019,0.946,0.888
"23","oe",2,-0.063,-0.002,0.017,0.017,0.016,0.947,-0.009,0.019,0.016,0.016,0.889,0.89
"24","te",2,-0.306,-0.007,0.024,0.022,0.023,0.933,-0.046,0.051,0.022,0.023,0.447,0.467
