"","estimand","rho","Truth","Bias","RMSE","ASE","ESE","Cov","Bias.1","RMSE.1","ASE.1","ESE.1","Cov.1","RMSERatio"
"1","mu",0.3,0.361,-0.002,0.01,0.009,0.01,0.931,-0.003,0.01,0.009,0.01,0.931,0.986
"2","mu_1",0.3,0.243,-0.004,0.01,0.009,0.009,0.914,-0.015,0.018,0.009,0.009,0.598,0.576
"3","mu_0",0.3,0.531,0.002,0.012,0.012,0.012,0.956,0.026,0.029,0.013,0.013,0.44,0.411
"4","de",0.3,-0.288,-0.006,0.012,0.011,0.011,0.925,-0.042,0.043,0.013,0.013,0.1,0.287
"5","se_1",0.3,0.005,0,0.003,0.003,0.003,0.935,0.001,0.003,0.003,0.003,0.936,0.88
"6","se_0",0.3,0.006,0,0.003,0.003,0.003,0.937,0,0.004,0.004,0.004,0.946,0.839
"7","oe",0.3,0.017,0,0.003,0.003,0.003,0.929,0.002,0.005,0.004,0.004,0.926,0.742
"8","te",0.3,-0.282,-0.007,0.013,0.012,0.011,0.922,-0.041,0.043,0.014,0.014,0.133,0.303
"9","mu",0.45,0.344,-0.002,0.01,0.009,0.009,0.933,-0.005,0.011,0.01,0.01,0.917,0.904
"10","mu_1",0.45,0.238,-0.005,0.011,0.01,0.01,0.913,-0.016,0.019,0.01,0.01,0.608,0.577
"11","mu_0",0.45,0.525,0.002,0.012,0.013,0.012,0.952,0.026,0.029,0.013,0.013,0.49,0.425
"12","de",0.45,-0.287,-0.007,0.014,0.012,0.012,0.926,-0.042,0.044,0.014,0.014,0.141,0.31
"13","se_1",0.45,0,0,0,0,0,0,0,0,0,0,0,NA
"14","se_0",0.45,0,0,0,0,0,0,0,0,0,0,0,NA
"15","oe",0.45,0,0,0,0,0,0,0,0,0,0,0,NA
"16","te",0.45,-0.287,-0.007,0.014,0.012,0.012,0.926,-0.042,0.044,0.014,0.014,0.141,0.31
"17","mu",0.6,0.316,-0.004,0.011,0.01,0.011,0.924,-0.009,0.015,0.011,0.011,0.86,0.772
"18","mu_1",0.6,0.229,-0.005,0.012,0.011,0.011,0.908,-0.017,0.021,0.011,0.012,0.657,0.6
"19","mu_0",0.6,0.514,0.002,0.014,0.014,0.014,0.944,0.024,0.029,0.016,0.016,0.656,0.492
"20","de",0.6,-0.285,-0.007,0.017,0.015,0.015,0.914,-0.041,0.045,0.017,0.017,0.295,0.372
"21","se_1",0.6,-0.009,-0.001,0.005,0.005,0.005,0.95,-0.001,0.006,0.006,0.006,0.943,0.861
"22","se_0",0.6,-0.011,0,0.006,0.006,0.006,0.945,-0.002,0.008,0.007,0.007,0.945,0.823
"23","oe",0.6,-0.028,-0.001,0.006,0.005,0.006,0.937,-0.004,0.008,0.007,0.007,0.899,0.712
"24","te",0.6,-0.296,-0.007,0.015,0.013,0.013,0.922,-0.043,0.046,0.015,0.016,0.207,0.334
