"","estimand","delta","Truth","Bias","RMSE","ASE","ESE","Cov","Bias.1","RMSE.1","ASE.1","ESE.1","Cov.1","RMSERatio"
"1","mu",0.5,0.426,0.003,0.016,0.016,0.016,0.952,0.011,0.021,0.017,0.018,0.903,0.76
"2","mu_1",0.5,0.261,-0.001,0.014,0.014,0.014,0.95,-0.01,0.018,0.015,0.015,0.885,0.782
"3","mu_0",0.5,0.551,0.006,0.022,0.021,0.021,0.946,0.034,0.042,0.023,0.025,0.656,0.524
"4","de",0.5,-0.29,-0.007,0.022,0.021,0.021,0.937,-0.044,0.05,0.023,0.024,0.49,0.442
"5","se_1",0.5,0.021,0.001,0.011,0.011,0.011,0.952,0.004,0.013,0.013,0.012,0.955,0.851
"6","se_0",0.5,0.025,0.003,0.019,0.017,0.018,0.937,0.006,0.022,0.02,0.021,0.932,0.835
"7","oe",0.5,0.072,0.003,0.013,0.012,0.013,0.929,0.013,0.02,0.014,0.015,0.833,0.68
"8","te",0.5,-0.265,-0.005,0.016,0.016,0.016,0.941,-0.038,0.042,0.018,0.017,0.433,0.392
"9","mu",1,0.354,0,0.012,0.012,0.012,0.948,-0.002,0.011,0.012,0.011,0.953,1.033
"10","mu_1",1,0.24,-0.002,0.011,0.011,0.011,0.946,-0.014,0.017,0.011,0.011,0.733,0.653
"11","mu_0",1,0.526,0.004,0.015,0.015,0.015,0.948,0.028,0.032,0.016,0.015,0.561,0.475
"12","de",1,-0.287,-0.006,0.014,0.013,0.012,0.931,-0.042,0.044,0.014,0.013,0.135,0.312
"13","se_1",1,0,0,0,0,0,0,0,0,0,0,0,NA
"14","se_0",1,0,0,0,0,0,0,0,0,0,0,0,NA
"15","oe",1,0,0,0,0,0,0,0,0,0,0,0,NA
"16","te",1,-0.287,-0.006,0.014,0.013,0.012,0.931,-0.042,0.044,0.014,0.013,0.135,0.312
"17","mu",2,0.293,-0.003,0.023,0.022,0.023,0.947,-0.011,0.025,0.021,0.022,0.901,0.949
"18","mu_1",2,0.222,-0.004,0.024,0.023,0.024,0.942,-0.017,0.028,0.022,0.022,0.837,0.855
"19","mu_0",2,0.504,0.001,0.025,0.025,0.025,0.95,0.022,0.034,0.027,0.026,0.884,0.739
"20","de",2,-0.283,-0.005,0.025,0.024,0.025,0.942,-0.039,0.047,0.025,0.025,0.654,0.54
"21","se_1",2,-0.018,-0.001,0.02,0.018,0.019,0.936,-0.004,0.019,0.017,0.018,0.933,1.038
"22","se_0",2,-0.022,-0.002,0.02,0.019,0.019,0.944,-0.006,0.022,0.021,0.021,0.933,0.9
"23","oe",2,-0.061,-0.002,0.019,0.018,0.019,0.933,-0.01,0.021,0.017,0.018,0.886,0.922
"24","te",2,-0.304,-0.007,0.026,0.024,0.025,0.926,-0.045,0.052,0.024,0.024,0.482,0.502
